Gebiet,Ort,Fläche,Datum,Durchgang,Art_deutsch,Zahl,Wissenschaftlicher_Name
A,Hübitz,Untersuchung,14.05.2024,1,Jagdfasan,4,Phasianus colchicus
A,,,,1,Grauammer,2,Emberiza calandra
A,,,,1,Feldlerche,11,Alauda arvensis
A,,,,1,Kernbeißer,4,Coccothraustes coccothraustes
A,,,,1,Elster,4,Pica pica
A,,,,1,Schafstelze,9,Motacilla flava
A,,,,1,Nachtigall,5,Luscinia megarhynchos
A,,,,1,Schwarzkehlchen,2,Saxicola rubicola
A,,,,1,Zilpzalp,2,Phylloscopus collybita
A,,,,1,Ringeltaube,1,Columba palumbus
A,,,,1,Blaumeise,1,Cyanistes caeruleus
A,,,,1,Kohlmeise,4,Parus major
A,,,,1,Buntspecht,1,Dendrocopos major
A,,,,1,Star,2,Sturnus vulgaris
A,,,,1,Rabenkrähe,1,Corvus corone
A,,,,1,Amsel,1,Turdus merula
A,,,,1,Gartengrasmücke,1,Sylvia borin
A,,,,1,Haussperling,1,Passer domesticus
A,,,,1,Bachstelze,1,Motacilla alba
A,,,,1,Rauchschwalbe,1,Hirundo rustica
A,,,,1,Goldammer,1,Emberiza citrinella
,Hübitz,Kontrolle,14.05.2024,1,,NA,
B,,,,1,Kohlmeise,1,Parus major
B,,,,1,Feldlerche,9,Alauda arvensis
B,,,,1,Schafstelze,3,Motacilla flava
B,,,,1,Nachtigall,1,Luscinia megarhynchos
,Schora,Untersuchung,22.05.2024,1,,NA,
G,,,,1,Feldlerche,8,Alauda arvensis
G,,,,1,Stieglitz,1,Carduelis carduelis
G,,,,1,Grauammer,1,Emberiza calandra
,Schora,Kontrolle,22.05.2024,1,,NA,
H,,,,1,Feldlerche,18,Alauda arvensis
H,,,,1,Amsel,1,Turdus merula
H,,,,1,Nachtigall,6,Luscinia megarhynchos
H,,,,1,Schafstelze,4,Motacilla flava
H,,,,1,Kernbeißer,1,Coccothraustes coccothraustes
H,,,,1,Buchfink,1,Fringilla coelebs
H,,,,1,Gartengrasmücke,1,Sylvia borin
H,,,,1,Goldammer,2,Emberiza citrinella
H,,,,1,Neuntöter,2,Lanius collurio
H,,,,1,Ringeltaube,1,Columba palumbus
,Aken,Kontrolle,22.05.2024,1,,NA,
D,,,,1,Stieglitz,3,Carduelis carduelis
D,,,,1,Feldlerche,6,Alauda arvensis
D,,,,1,Blaumeise,4,Cyanistes caeruleus
D,,,,1,Grauammer,1,Emberiza calandra
D,,,,1,Kiebitz,1,Vanellus vanellus
D,,,,1,Schafstelze,2,Motacilla flava
D,,,,1,Nachtigall,1,Luscinia megarhynchos
,Aken,Untersuchung,22.05.2024,1,,NA,
C,,,,1,Feldlerche,14,Alauda arvensis
C,,,,1,Star,3,Sturnus vulgaris
C,,,,1,Schafstelze,5,Motacilla flava
C,,,,1,Pirol,3,Oriolus oriolus
,Gimritz,Untersuchung,23.05.2024,1,,NA,
E,,,,1,Pirol,2,Oriolus oriolus
E,,,,1,Grünspecht,1,Picus viridis
E,,,,1,Neuntöter,3,Lanius collurio
E,,,,1,Mäusebussard,1,Buteo buteo
E,,,,1,Feldlerche,1,Alauda arvensis
E,,,,1,Jagdfasan,3,Phasianus colchicus
E,,,,1,Star,2,Sturnus vulgaris
E,,,,1,Wiedehopf,1,Upupa epops
E,,,,1,Kernbeißer,1,Coccothraustes coccothraustes
E,,,,1,Rotmilan,1,Milvus milvus
E,,,,1,Grauammer,1,Emberiza calandra
E,,,,1,Gartenrotschwanz,2,Phoenicurus phoenicurus
E,,,,1,Wendehals,1,Jynx torquilla
,Gimritz,Kontrolle,23.05.2024,1,,NA,
F,,,,1,Jagdfasan,1,Phasianus colchicus
F,,,,1,Grauammer,3,Emberiza calandra
F,,,,1,Star,9,Sturnus vulgaris
F,,,,1,Elster,1,Pica pica
F,,,,1,Neuntöter,2,Lanius collurio
F,,,,1,Nachtigall,1,Luscinia megarhynchos
F,,,,1,Ringeltaube,1,Columba palumbus
,Schora,Untersuchung,29.05.2024,2,,NA,
G,,,,2,Jagdfasan,1,Phasianus colchicus
G,,,,2,Goldammer,1,Emberiza citrinella
G,,,,2,Feldlerche,11,Alauda arvensis
G,,,,2,Kohlmeise,1,Parus major
G,,,,2,Ringeltaube,1,Columba palumbus
G,,,,2,Grauammer,1,Emberiza calandra
G,,,,2,Stieglitz,2,Carduelis carduelis
G,,,,2,Elster,1,Pica pica
G,,,,2,Rauchschwalbe,1,Hirundo rustica
G,,,,2,Dorngrasmücke,1,Curruca communis
,Schora,Kontrolle,29.05.2024,2,,NA,
H,,,,2,Feldlerche,7,Alauda arvensis
H,,,,2,Buntspecht,1,Dendrocopos major
H,,,,2,Kohlmeise,2,Parus major
H,,,,2,Ringeltaube,1,Columba palumbus
H,,,,2,Amsel,1,Turdus merula
H,,,,2,Nachtigall,1,Luscinia megarhynchos
H,,,,2,Gelbspötter,3,Hippolais icterinna
H,,,,2,Gartengrasmücke,1,Sylvia borin
H,,,,2,Neuntöter,1,Lanius collurio
H,,,,2,Goldammer,1,Emberiza citrinella
H,,,,2,Stieglitz,1,Carduelis carduelis
H,,,,2,Schafstelze,1,Motacilla flava
H,,,,2,Rotmilan,1,Milvus milvus
,Aken,Kontrolle,29.05.2024,2,,NA,
D,,,,2,Bachstelze,1,Motacilla alba
D,,,,2,Turmfalke,1,Falco tinnunculus
D,,,,2,Kuckuck,1,Cuculus canorus
D,,,,2,Neuntöter,1,Lanius collurio
D,,,,2,Feldlerche,4,Alauda arvensis
D,,,,2,Stockente,1,Anas platyrhynchos
D,,,,2,Grauammer,2,Emberiza calandra
D,,,,2,Schafstelze,3,Motacilla flava
D,,,,2,Kohlmeise,1,Parus major
D,,,,2,Jagdfasan,1,Phasianus colchicus
D,,,,2,Rohrammer,1,Emberiza schoeniclus
,Aken,Untersuchung,29.05.2024,2,,NA,
C,,,,2,Feldlerche,10,Alauda arvensis
C,,,,2,Grauammer,1,Emberiza calandra
C,,,,2,Mauersegler,2,Apus apus
C,,,,2,Weißstorch,1,Ciconia ciconia
C,,,,2,Schafstelze,1,Motacilla flava
C,,,,2,Rauchschwalbe,1,Hirundo rustica
C,,,,2,Pirol,1,Oriolus oriolus
C,,,,2,Schafstelze,1,Motacilla flava
,Gimritz,Kontrolle,30.05.2024,2,,NA,
F,,,,2,Wiedehopf,1,Upupa epops
F,,,,2,Grauammer,4,Emberiza calandra
F,,,,2,Feldlerche,1,Alauda arvensis
F,,,,2,Mäusebussard,1,Buteo buteo
F,,,,2,Ringeltaube,2,Columba palumbus
F,,,,2,Turmfalke,1,Falco tinnunculus
F,,,,2,Pirol,2,Oriolus oriolus
F,,,,2,Girlitz,1,Serinus serinus
F,,,,2,Kuckuck,1,Cuculus canorus
F,,,,2,Schwarzkehlchen,1,Saxicola rubicola
F,,,,2,Stieglitz,1,Carduelis carduelis
,Gimritz,Untersuchung,30.05.2024,2,,NA,
E,,,,2,Bienenfresser,4,Merops apiaster
E,,,,2,Jagdfasan,1,Phasianus colchicus
E,,,,2,Star,3,Sturnus vulgaris
E,,,,2,Rotmilan,1,Milvus milvus
E,,,,2,Mäusebussard,1,Buteo buteo
E,,,,2,Pirol,1,Oriolus oriolus
E,,,,2,Buchfink,1,Fringilla coelebs
E,,,,2,Zilpzalp,1,Phylloscopus collybita
E,,,,2,Schafstelze,1,Motacilla flava
E,,,,2,Turmfalke,2,Falco tinnunculus
E,,,,2,Buntspecht,1,Dendrocopos major
E,,,,2,Kohlmeise,1,Parus major
E,,,,2,Ringeltaube,1,Columba palumbus
E,,,,2,Neuntöter,1,Lanius collurio
